--- ADX Analysis ---
Date	ADX	+DI	-DI
2024-05-23	nan	nan	nan
2024-05-24	nan	nan	nan
2024-05-27	nan	nan	nan
2024-05-28	nan	nan	nan
2024-05-29	nan	nan	nan
2024-05-30	nan	nan	nan
2024-05-31	nan	nan	nan
2024-06-03	nan	nan	nan
2024-06-04	nan	nan	nan
2024-06-05	nan	nan	nan
2024-06-06	nan	nan	nan
2024-06-07	nan	nan	nan
2024-06-11	nan	nan	nan
2024-06-12	nan	nan	nan
2024-06-13	nan	37.85	20.01
2024-06-14	nan	35.51	20.95
2024-06-17	nan	35.03	20.01
2024-06-18	nan	40.39	17.92
2024-06-19	nan	46.24	15.45
2024-06-20	nan	44.63	14.91
2024-06-21	nan	41.37	17.65
2024-06-24	nan	37.19	22.61
2024-06-25	nan	34.44	26.65
2024-06-26	nan	37.81	25.27
2024-06-27	nan	36.21	24.91
2024-06-28	nan	37.72	23.48
2024-07-01	nan	38.26	22.44
2024-07-02	29.19	36.52	23.69
2024-07-03	28.91	36.92	21.98
2024-07-04	29.60	44.02	19.51
2024-07-05	30.24	42.36	18.78
2024-07-08	31.76	48.70	15.61
2024-07-09	33.26	45.56	14.08
2024-07-10	34.05	40.56	15.67
2024-07-11	35.38	45.33	14.02
2024-07-12	35.08	38.45	20.17
2024-07-15	34.81	36.29	19.04
2024-07-16	35.14	39.65	17.22
2024-07-17	34.73	35.95	19.61
2024-07-18	32.97	31.92	26.08
2024-07-19	30.78	29.12	27.80
2024-07-22	29.38	26.80	33.54
2024-07-23	27.61	27.60	30.30
2024-07-26	27.03	23.66	35.12
2024-07-29	25.91	26.46	33.20
2024-07-30	25.12	25.05	33.75
2024-07-31	24.38	24.32	32.77
2024-08-01	22.74	29.21	30.03
2024-08-02	22.36	25.48	36.29
2024-08-05	23.55	20.93	47.67
2024-08-06	23.60	24.81	40.71
2024-08-07	23.03	27.55	37.74
2024-08-08	22.61	25.88	36.55
2024-08-09	21.51	29.42	33.99
2024-08-12	20.16	31.15	32.88
2024-08-13	18.92	30.64	32.34
2024-08-14	17.62	31.86	31.38
2024-08-15	16.41	31.21	31.64
2024-08-16	15.68	33.69	29.77
2024-08-19	15.15	34.24	28.99
2024-08-20	14.71	33.96	28.33
2024-08-21	13.92	32.47	30.19
2024-08-22	12.94	31.09	31.03
