股票代號,股票簡稱,股票類型
1101.TW,台泥,1
1102.TW,亞泥,1
1103.TW,嘉泥,1
1104.TW,環泥,1
1108.TW,幸福,1
1109.TW,信大,1
1110.TW,東泥,1
1203.TW,味王,2
1210.TW,大成,2
1213.TW,大飲,2
1215.TW,卜蜂,2
1216.TW,統一,2
1217.TW,愛之味,2
1218.TW,泰山,2
1219.TW,福壽,2
1220.TW,台榮,2
1225.TW,福懋油,2
1227.TW,佳格,2
1229.TW,聯華,2
1231.TW,聯華食,2
1232.TW,大統益,2
1233.TW,天仁,2
1234.TW,黑松,2
1235.TW,興泰,2
1236.TW,宏亞,2
1256.TW,鮮活果汁-KY,2
1702.TW,南僑,2
1737.TW,臺鹽,2
3054.TW,立萬利,2
1303.TW,南亞,3
1304.TW,台聚,3
1305.TW,華夏,3
1307.TW,三芳,3
1308.TW,亞聚,3
1309.TW,台達化,3
1310.TW,台苯,3
1312.TW,國喬,3
1313.TW,聯成,3
1314.TW,中石化,3
1315.TW,達新,3
1321.TW,大洋,3
1323.TW,永裕,3
1324.TW,地球,3
1325.TW,恆大,3
1326.TW,台化,3
1337.TW,再生-KY,3
1340.TW,勝悅-KY,3
1341.TW,富林-KY,3
4306.TW,炎洲,3
1409.TW,新纖,4
1410.TW,南染,4
1413.TW,宏洲,4
1414.TW,東和,4
1417.TW,嘉裕,4
1418.TW,東華,4
1419.TW,新紡,4
1423.TW,利華,4
1434.TW,福懋,4
1440.TW,南紡,4
1441.TW,大東,4
1444.TW,力麗,4
1445.TW,大宇,4
1446.TW,宏和,4
1447.TW,力鵬,4
1449.TW,佳和,4
1451.TW,年興,4
1452.TW,宏益,4
1454.TW,台富,4
1455.TW,集盛,4
1457.TW,宜進,4
1459.TW,聯發,4
1460.TW,宏遠,4
1463.TW,強盛新,4
1464.TW,得力,4
1465.TW,偉全,4
1466.TW,聚隆,4
1467.TW,南緯,4
1468.TW,昶和,4
1470.TW,大統新創,4
1473.TW,台南,4
1474.TW,弘裕,4
1475.TW,業旺,4
1476.TW,儒鴻,4
1477.TW,聚陽,4
4414.TW,如興,4
4426.TW,利勤,4
4438.TW,廣越,4
4439.TW,冠星-KY,4
4440.TW,宜新實業,4
1504.TW,東元,5
1506.TW,正道,5
1513.TW,中興電,5
1514.TW,亞力,5
1515.TW,力山,5
1517.TW,利奇,5
1519.TW,華城,5
1526.TW,日馳,5
1527.TW,鑽全,5
1528.TW,恩德,5
1529.TW,樂事綠能,5
1530.TW,亞崴,5
1531.TW,高林股,5
1532.TW,勤美,5
1535.TW,中宇,5
